File name;Zone;Patry;Hostplant;Baltic;Sex;BL;OL;Wing length;Wing width;Wing area;Melanized area;LMPC1;LMPC2;LMPC3;LMPC4;LMPC5;LMPC6;BL ln;OL ln;WL ln;WW ln;WA sqrt;MA sqrt;WA sqrt ln;MA sqrt ln
CHES18_198aWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;3.94;;4.45502645502645;1.87301587301587;6.63072142437222;3.71075837742504;-0.017078;-0.00167;-0.0062226;0.0063668;-0.009014;-0.00093758;0.595496221825574;;0.648850287326405;0.272541457852544;2.575018723111;1.9263328833369;0.410780391169144;0.284731338294397
CHES18_199bWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Female;4.48;1.65;4.71;2.17;8.3428;5.3308;-0.001637;-0.0074474;0.007672;-0.0031882;0.0010057;-0.0040263;0.651278013998144;0.217483944213906;0.673020907128896;0.33645973384853;2.88839055530931;2.30885252885497;0.460655916234108;0.363396194523996
CHES18_200aWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;4.61;;4.99019607843137;2.29411764705882;9.17954632833526;5.73923490965013;-0.0016947;-0.00057772;0.011494;-0.0072191;-0.0028253;-0.003452;0.663700925389648;;0.698117610574841;0.360615685648225;3.02977661360293;2.39567003355014;0.481410609011882;0.379427000496576
CHES18_200bWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Female;5.31;1.78;5.61165048543689;2.58252427184466;11.5138090300688;7.0669243095485;-0.013346;0.014413;0.01172;0.0092362;0.00022127;0.0049096;0.725094521081469;0.250420002308894;0.749090613715357;0.412044411925895;3.39320041112646;2.65836873092287;0.530609510949556;0.424615219909416
CHES18_201aWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;4.51;;4.46875;2.09375;7.63878038194444;4.75564236111111;0.014551;0.0081837;-0.00060539;-0.004101;-0.0013458;-0.0056662;0.65417654187796;;0.650186059145156;0.32092482438092;2.7638343622483;2.18074353400649;0.441512012031726;0.338604593448926
CHES18_201bWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;4.74;;4.90625;2.33333333333333;9.0341796875;5.19140625;0.014525;-0.0098035;-0.013008;-0.014787;-0.012454;-0.0017059;0.675778341674085;;0.690749674089328;0.367976785294594;3.00569121625958;2.27846576669477;0.477944362158163;0.357642507815441
CHES18_203aWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;4.66;;4.71287128712871;2.26732673267327;8.58072737966866;5.89001078325654;0.011663;0.012437;-0.01021;0.016275;-0.0034802;-0.000038126;0.66838591669;;0.673285578937851;0.355514108557245;2.92928786220622;2.42693444148303;0.466762052058784;0.385058044940624
CHES18_204aWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;4.72;;4.88235294117647;2.24509803921569;8.86005382545175;5.74336793540946;0.014916;0.014879;-0.0011417;0.0089247;-0.011035;-0.00017538;0.673941998634088;;0.6886291709978;0.35123531057797;2.9765842547208;2.39653248160951;0.473718180132333;0.379583319615383
CHES18_204bWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Female;5.03;1.87;5.35294117647059;2.52941176470588;10.902921953095;6.68435217224145;0.010183;0.0045709;-0.0066911;0.0018769;0.0059918;-0.0064862;0.701567985055927;0.271841606536499;0.72859247094282;0.403019534201313;3.30195729122818;2.58541141256889;0.518771451633049;0.412529661546643
CHES18_205aWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;4.52;;4.29896907216495;2.1340206185567;7.46625571261558;4.17238813901584;0.023697;0.0064721;-0.010771;-0.0044594;-0.011592;0.0014395;0.655138434811382;;0.633364320707513;0.329198611190673;2.7324450063296;2.04264244032475;0.436551430022314;0.310192351074758
CHES18_206aWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;4.54;;4.71578947368421;2.13684210526316;7.90083102493075;4.50747922437673;0.021774;0.020042;0.0042941;-0.0044146;-0.0056415;-0.0088979;0.657055852857104;;0.673554408709296;0.329772432624365;2.81084169332439;2.12308248176484;0.448836386819936;0.326966866836506
CHES18_206bWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Female;4.77;1.94;5.20833333333333;2.39583333333333;9.8896484375;5.4228515625;0.015128;0.0031955;0.0071592;0.0024163;0.0040871;-0.00043125;0.678518379040114;0.287801729930226;0.71669877129645;0.379456602978024;3.14478114302093;2.32870169032017;0.497590426669795;0.367113858416377
CHES18_207aWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;4.61;;4.85572139303483;2.2089552238806;8.65869656691666;5.54966461226207;-0.0044873;0.014892;0.0053408;0.0084137;-0.0076945;-0.0072224;0.663700925389648;;0.686253760246203;0.344186912694131;2.94256632328256;2.35577261471944;0.468726260304267;0.372133368908626
CHES18_207bWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Female;4.66;1.77;4.88235294117647;2.38235294117647;9.21530180699731;6.01441753171857;0.0061501;0.0038152;0.0034205;0.016213;-0.01013;-0.0041986;0.66838591669;0.247973266361807;0.6886291709978;0.377006101836395;3.03567155782659;2.45243094331289;0.482254781604304;0.389596787158859
CHES18_208bWing1a.jpg;CHES;Sympatry;Heterophyllum;East;Male;5.11;;5.4040404040404;2.46464646464646;10.6939087848179;6.60126517702275;0.010737;-0.0022209;0.0040949;0.0055865;-0.0037101;0.0053714;0.708420900134713;;0.732718587423679;0.39175463174118;3.27015424480526;2.56929273867786;0.514568237702471;0.409813589493847
